action,situation,session_id,litw,socialchem,delphi,gpt4,age,gender,ethnicity,religion,education,country_longest,country_residence,native_language
trying new things.,getting pissed off at my girlfriend for trying an edible,623.0,2.0,0.0,1.0,1.0,10-20,woman,,hindu,high school,West-South-Asia,West-South-Asia,not english
loving someone that will never love you back.,I fell in love with someone who’ll never love me back like that,624.0,0.0,-0.75,-1.0,0.0,10-20,woman,,hindu,high school,West-South-Asia,West-South-Asia,not english
finding proof of cheating you perceive to be happening.,Paper Trail of Names Could Lead to Husband's Cheating,624.0,0.0,0.5,0.0,-1.0,10-20,woman,,hindu,high school,West-South-Asia,West-South-Asia,not english
having a potty mouth.,I swear as loud as I can when playing video games in my apartment.,624.0,-1.0,-1.0,-1.0,-1.0,10-20,woman,,hindu,high school,West-South-Asia,West-South-Asia,not english
needing motivation to finish your goals,"With her encouragement, I finally finished my run.",624.0,0.0,0.0,0.0,0.0,10-20,woman,,hindu,high school,West-South-Asia,West-South-Asia,not english
working at home.,Sara decided to start a children's daycare in her home.,624.0,0.0,0.8333333333333334,0.0,0.0,10-20,woman,,hindu,high school,West-South-Asia,West-South-Asia,not english
not wanting to be cool about a problem.,I was super not cool today,624.0,-2.0,-0.2,0.0,-1.0,10-20,woman,,hindu,high school,West-South-Asia,West-South-Asia,not english
taking money you just find lying around.,I scrounged money from a fountain in the city,624.0,-1.0,0.3333333333333333,-1.0,-1.0,10-20,woman,,hindu,high school,West-South-Asia,West-South-Asia,not english
learning how to play left and right handed.,Then he realized that he was playing right handed.,624.0,0.0,0.0,0.0,0.0,10-20,woman,,hindu,high school,West-South-Asia,West-South-Asia,not english
hurting somebody who's stealing from you,I hurt a thief real bad.,624.0,1.0,-0.3333333333333333,-1.0,-1.0,10-20,woman,,hindu,high school,West-South-Asia,West-South-Asia,not english
having reservations about trusting someone completely.,"telling my girlfriend, that I want her full trust or none",624.0,2.0,0.0,0.0,0.0,10-20,woman,,hindu,high school,West-South-Asia,West-South-Asia,not english
complaining about something you don't like,Complaint About Sliced Lemons Makes Some Readers Pucker,625.0,1.0,0.0,0.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
telling someone how to study.,telling my flatmate to be more quiet while she's studying,625.0,0.0,-1.0,-1.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
wanting to be humiliated.,I want to serve as a human toilet for women,625.0,-1.0,-1.2,-1.0,-1.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
outgrowing a friendship.,ending a possible good friendship,625.0,0.0,0.0,0.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
buying candy.,"Once she was there, she decided to buy red licorice and gumdrops.",625.0,2.0,-0.8333333333333334,0.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
giving up on your relationship.,I don't think my relationship will last,625.0,-1.0,-1.0,-1.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
expecting your kids to help you out all the time.,telling my mom to look for the remote herself,625.0,-2.0,-0.6,-1.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
going out fishing.,After a few more minutes he landed the fish to his boat.,625.0,1.0,0.0,0.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
buying others expensive gifts that cause them to spend money.,'Gift' of a Cruise Puts Friend in Troubled Financial Water,625.0,0.0,-1.0,1.0,-1.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
being honest about your feelings.,ending a 4+ yr relationship with my boyfriend,625.0,2.0,0.0,1.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
being yourself,If I had ten more minutes with you... pt. 2,625.0,2.0,0.0,0.0,1.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
putting your family above your friends.,not helping out my friend so I can help my brother after not helping out my brother so I could help out my friend,625.0,2.0,-1.0,0.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
using language that is politically correct.,calling out my work to use more inclusive terms,625.0,0.0,1.0,1.0,1.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
only wanting to hang out with certain people.,telling my friend it is rude to bring people outside our friend group to outings without warning,625.0,0.0,-0.2,0.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
feeling betrayed by a partner.,feeling like my girlfriend (essentially) cheated on me,625.0,-2.0,0.0,-1.0,-1.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
following your parents' demands.,"not traveling to my sibling's state/home for the holidays at my parents' demands and effecitively ""ruining Christmas"" by not all being together for the first year",625.0,0.0,0.3333333333333333,0.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
getting your child a pet.,Andrew told me that his mom was going to get them a dog!,625.0,-1.0,1.0,1.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
always carrying alternate forms of money to the store in case your card is declined.,"At the counter, however, my card was declined, so I put it all back.",625.0,2.0,0.4,0.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
helping children.,Sara decided to start a children's daycare in her home.,625.0,2.0,1.0,1.0,1.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
engaging in romantic relationships with minors,Mom's Embrace of Younger Man Has Whole Family Up in Arms,625.0,-2.0,-2.0,-1.0,-1.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
spending time outdoors.,"Almost immediately, he felt a big tug on his small hook.",625.0,1.0,1.0,1.0,1.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
wasting food.,stomping on a girls apple and making her clean it up,625.0,-1.0,-1.0,-1.0,-1.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
partaking in a showy wedding ritual.,In Your Face Wedding Ritual Deserves a Good Riddance,625.0,0.0,-1.2,-1.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
being annoyed when you think your friend is fishing for compliments.,Jill was very worried about her performance cheerleading.,625.0,0.0,0.0,0.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
expecting people to always pay off their loans.,"I owe more than $650,000 in Student Loans, I was told that I have the highest amount on record.",625.0,0.0,-1.0,-1.0,0.0,10-20,woman,asian,muslim,college,English-Speaking,English-Speaking,not english
working hard at your job.,"When at last he retired, he had an officer's pension.",626.0,1.0,1.0,1.0,1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
being with someone who is still talking to their old flame.,Wife Isn't Hot to Play Host for Husband's Old Flame,626.0,0.0,-1.0,-1.0,0.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
using humor to lighten the mood,making joke about my roommates prom dress,626.0,1.0,0.0,0.0,0.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
destroying someone's reputation.,destroying my clasmmate reputation when he threw bleach at my right eye,626.0,-2.0,-1.6,-1.0,-1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
letting others lead you on.,leading on a white girl,626.0,-1.0,-0.75,-1.0,-1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
going to your child's private events.,not wanting my mom to go with me to a job interview,626.0,2.0,-1.0,1.0,0.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
touching people.,Human Touch Helps to Heal Lonely Residents in Home,626.0,-1.0,-1.0,1.0,-1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
making excuses in life.,James realized his eyesight had kept him from enjoying books.,626.0,-2.0,-1.0,-1.0,-1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
putting on an act in front of others.,Making myself dumber for the sake of conversation....,626.0,-1.0,-1.0,-1.0,0.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
most people loving tacos.,They convinced their mom to take them to get tacos.,626.0,0.0,0.0,0.0,1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
leaving your family and friends behind just to get an education.,wanting to go to college out of state,626.0,0.0,-1.0,1.0,0.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
expecting your spouse to pay for your vices.,After she got married her husband began to chip in as well.,626.0,-2.0,-1.0,-1.0,-1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
using language that is politically correct.,calling out my work to use more inclusive terms,626.0,0.0,1.0,1.0,1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
reporting someone who sexually harasses you to the police.,Bob was fired from his job for sexually harassing female employees.,626.0,2.0,0.6666666666666666,0.0,1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
offering people advice when they're dealing with a problem.,Creative Solutions Offered for Problem of Leaky Pet,626.0,1.0,1.0,1.0,0.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
paying for sex.,Had a 3sum with two trans girls last night. I consider myself straight.,626.0,-2.0,-1.1666666666666667,1.0,-1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
being afraid of growing apart from your partner.,Woman Preparing to Wed Is Fearful of Growing Apart,626.0,1.0,-0.6666666666666666,0.0,0.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
being part of an affair.,I’m part of an affair and I know it,626.0,-2.0,-1.3333333333333333,-1.0,-1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
thinking a tan is suspicious.,Husband's Salon Tan Is Sign That He's Cheating,626.0,-1.0,-1.0,-1.0,0.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
coming to conclusions.,I've made a realization,626.0,1.0,0.2,-1.0,0.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
not having a plan for the rest of your life,I don't know where I am going in life anymore.,626.0,-1.0,0.0,1.0,0.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
being in a romantic relationship with a teacher.,My Relationship with a Teacher,626.0,1.0,-1.5,1.0,-1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
being competitive with a significant other's family.,"Her biggest challenger is her boyfriend's mom, Lori.",626.0,0.0,-1.0,-1.0,0.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
being accepting of having a half-sibling,First-Time Mom Keeps Stepson's Feelings in Mind,626.0,2.0,0.0,0.0,1.0,60-70,man,white,christian,college,English-Speaking,English-Speaking,english
picking your teeth in public.,I sometimes use fingernails as dental floss.,627.0,-1.0,-0.8333333333333334,-1.0,-1.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
letting personal relationships get in the way of your relationship with family.,"Couple Kisses and Makes Up, but Family Tension Remains",627.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
forcing your grandchildren to eat something they don't want to eat.,Foster Grandparents' Menu Is Causing a Family Stew,627.0,0.0,-1.0,-1.0,-1.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
talking in class.,One day she was talking in class and her teacher noticed.,627.0,-1.0,-1.0,-1.0,-1.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
telling your friend to take a taxi home from the airport.,Ryan flew into Chicago and Sam picked him up from the airport.,627.0,-1.0,-1.0,1.0,0.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
surprising people.,Tom waited in the shadows by Ana's house.,627.0,0.0,-0.8333333333333334,1.0,0.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
leaving your family and friends behind just to get an education.,wanting to go to college out of state,627.0,-2.0,-1.0,1.0,0.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
dating someone when you're their boss.,I'm sleeping with my subordinate that is 20 years younger.,627.0,-2.0,-1.1666666666666667,-1.0,-1.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
feeding your pets leftovers from your dinner plate.,Dog's Dishwashing Duty Is Frowned Upon by Vet,627.0,-2.0,-1.0,-1.0,0.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
going to school.,Louise was walking from her bus into her school.,627.0,2.0,0.6666666666666666,0.0,1.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
resenting your parents.,resenting my father for what (might be) a trivial issue,627.0,-1.0,-1.0,-1.0,-1.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
listening to your partner's advice regarding your problems.,giving my wife simple solutions to problems,627.0,1.0,0.1666666666666666,0.0,1.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
breaking the rules.,Her mother caught her returning and she was grounded for longer.,627.0,-2.0,-1.0,-1.0,-1.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
telling a woman what to do.,telling a woman to prioritize gas over food,627.0,-2.0,-1.1666666666666667,-1.0,-1.0,10-20,woman,white,,graduate school,English-Speaking,English-Speaking,english
